Mast,MATHE7
152,6560205
152,849705
152,615745
152,848097
152,3646851
152,4472486
152,7761980
152,4899631
152,1566789
152,849734
152,848104
152,849728
152,615760
152,982736
152,6039931
152,615821
152,5350983
152,4682669
152,5164125
152,849573
152,849754
152,849003
152,6062035
152,6062552
152,4957384
152,848106
152,849703
152,849751
152,101437
152,615735
152,979606
152,982735
152,1566776
152,615812
152,848137
152,849586
152,7761722
152,849564
152,849717
152,849718
152,4482870
152,615810
152,3663425
152,4480761
152,6561018
152,615781
152,615816
153,1666953
153,2110603
153,2746588
153,3990822
153,8999423
153,2369027
153,8608251
153,6644189
153,4032
153,4600918
153,4654062
153,3303352
153,1666954
153,1764064
153,8608181
153,2394385
153,2368542
153,3634071
153,304045
153,1907245
153,4298972
153,5253106
154,4911069
154,3518539
154,3166485
154,9717925
154,3175647
154,3182221
154,5866657
154,599
154,7288926
154,2651059
154,5461791
154,6038655
154,8539219
154,5725170
154,3246224
154,9151024
154,1710258
154,3517841
154,5724768
154,2371465
154,4038780
154,3162575
154,8603075
154,9783603
154,1399015
154,8259754
154,9523250
154,4928087
154,3154857
154,8539934
154,8942660
154,3612346
154,3615187
154,9090574
154,7780757
154,8883686
154,1809916
154,1910938
154,7058506
154,4687973
154,8539462
154,1809917
155,2917442
155,2341
155,7829765
155,1858465
155,2008287
155,1582362
155,8909346
155,1681156
155,4113274
155,3517109
155,1047322
155,1402994
155,3679590
155,4161024
155,15505
155,3517626
155,3800237
155,4117331
155,4556501
155,8587358
155,3507426
155,1271466
155,2089703
155,4115640
155,4039692
155,4036636
155,3633595
155,4356229
155,4118441
155,4469807
155,3614507
155,4084412
155,6626159
155,3022272
155,3625036
155,7950485
155,9782151
155,2102742
155,3440531
155,2672294
155,3440757
155,4039362
155,4157545
155,1778734
155,2105919
155,4160241
155,1587630
155,2915790
155,4386690
155,1671043
155,5981428
155,6127039
155,2369
155,1626068
155,2673382
155,6128641
155,2004508
155,5782647
155,9280989
155,611840
155,3528839
155,5197733
155,7177932
155,1867442
155,1868180
155,2531378
155,3360091
155,4037696
155,8168610
155,1388280
155,3039576
155,4113066
155,1459863
155,1982350
155,3144071
155,3165752
155,3773933
155,8356662
155,3480892
155,17299
155,1475171
155,2559374
155,3274896
155,754833
155,1271676
155,3773415
155,7649967
155,1588397
155,2545582
155,2587679
155,6324914
155,6707253
155,1689581
155,7310392
155,3502383
155,3516923
155,5331673
155,3039217
155,3401846
155,8202863
155,6648185
155,4120597
157,2142923
157,2599432
157,3173826
157,550496
157,8848084
157,6339805
157,4399834
157,1658594
157,3229632
157,6012292
157,4837585
157,4911131
157,8942887
157,5195843
157,6013615
157,6603511
157,7244579
157,8570697
157,3067833
157,5121000
157,2974175
157,3782064
157,5833790
157,3197020
157,2616123
157,4809339
157,9104186
157,8789442
157,12277
157,5184737
157,5195111
157,7186999
157,2900136
157,5625189
157,3173872
157,3529133
157,4035768
157,5677156
157,1244652
157,6467947
157,6617167
157,9757783
157,2900759
157,5553463
157,3224378
157,8789505
157,3220655
157,3300090
157,4505127
157,1846998
157,4108524
157,4669013
157,4020999
157,4122976
157,1399204
157,8120403
157,3643009
157,24867
157,7530597
157,386295
157,741795
157,1006900
157,6536428
157,3069340
157,3783270
157,5121571
158,3008022
158,5676682
158,7982988
158,4957157
158,7364985
158,6473780
158,3777581
158,8996354
158,1444011
158,4387347
158,9609024
158,4156803
158,1254806
158,2530822
158,3383522
158,7222000
158,9609209
158,194499
158,1722537
158,4127582
158,1587734
158,3247656
158,1993479
158,3777895
158,4994974
158,7177235
158,9169364
158,1723981
158,8863423
158,2768583
158,3987434
158,4125728
158,1600217
158,1829863
158,1425928
158,3252042
158,3814338
158,4386547
158,5206183
158,9522464
158,310926
158,6056836
158,8876250
158,3847392
158,4037752
158,3252281
158,3808428
158,1923362
158,1425923
158,3439727
158,7386725
158,7506734
158,1425855
158,1829858
158,5602017
158,6480193
158,9117236
158,5331952
158,6472088
158,9685903
158,7995209
158,5071597
158,5330769
158,4589735
158,4645739
158,8996355
158,151899
158,4126982
158,7824082
158,8552577
158,4027849
158,5239473
159,1042145
159,2388890
159,2979509
159,4354690
159,5075288
159,1201011
159,1661959
159,4037105
159,6629273
159,7690554
159,33317
159,2588698
159,4600852
159,7084372
159,8049660
159,8054630
159,4052622
159,6187189
159,2622569
159,3309383
159,828433
159,1614541
159,2983596
159,3491999
159,7868262
159,8049640
159,9527845
159,1982660
159,4818036
159,8112304
159,4100017
159,4128482
159,4825646
159,8112964
159,8981798
159,1977670
159,8112202
159,1614606
159,3624371
159,6165088
159,1389042
159,2486394
159,2587588
159,3695370
159,4052550
159,5480573
159,3559913
159,6065865
159,6601297
159,1768444
159,8354483
159,33254
159,8352920
159,1874951
159,8112692
159,1927673
159,2062649
159,2360336
159,3309560
159,1876350
159,8937228
159,9281255
159,1200787
159,4146199
159,5990871
159,195215
159,2338636
159,3327648
159,3385161
159,3623223
159,4687398
159,6383406
159,8112247
159,1200584
159,1850692
159,6505534
159,8113010
159,8937837
159,9628538
159,681170
159,7124034
159,7124660
159,8355696
159,5180150
159,1856913
159,1900098
159,4639418
159,12737
159,1768129
159,3050884
159,4130501
159,5556203
159,5604685
159,8112452
159,1200634
159,3895550
159,6384645
159,2267890
159,4130936
159,7681476
159,4856347
159,7483035
159,8625361
159,17107
159,1214920
159,1768656
159,9628483
159,599099
159,2527896
159,3166782
159,7124155
159,8624913
159,2062575
159,2115379
159,2606298
159,6187684
159,6991862
159,9628356
159,3180898
159,3275848
159,4959335
159,7497825
159,6629288
159,9629028
159,1614997
159,2585896
159,4856098
159,5467680
159,1857552
159,6629274
159,9629126
159,3770525
159,4639389
159,5601617
159,7691751
159,8447374
159,5029931
159,5556545
159,6186816
159,8049778
159,8624047
159,1389246
159,4812863
159,6708843
159,9629759
159,6990592
159,1605007
159,5862719
160,4131804
160,1417165
160,2533438
160,2545491
160,2625278
160,4588520
160,4918790
160,5646774
160,6597454
160,1831414
160,2030659
160,6528926
160,1416625
160,7865412
160,9068192
160,218986
160,1416680
