Mast,MATHE7
119,3912095
119,3095904
120,3935749
120,4028599
120,2799738
120,5714298
120,9053637
120,7806037
120,8399185
120,9173605
120,4028595
120,3527215
120,2787434
120,2785634
120,6580903
120,0538736
120,2790101
120,5224181
120,3728920
121,1477447
121,0056768
121,3842217
121,5586385
121,1823975
121,3841244
121,8521284
121,4210424
121,4209253
121,8288681
121,5301311
122,8093049
122,3581179
122,8632519
122,2914958
122,7392927
122,1486247
122,3868927
122,3483346
122,1485974
122,3130614
122,7728094
122,6015824
122,3314284
122,6500764
122,8965543
122,4741123
122,3131363
122,3137242
122,4741620
123,5999459
123,2842919
123,4718119
123,3485638
123,2847888
123,1337268
123,5214655
123,4470534
123,2850314
123,1575403
123,2841913
123,3903723
123,9799632
123,9097801
123,8595001
112,2667807
112,6705847
112,4877436
112,4877276
112,8875956
112,4905726
112,5305085
112,3204805
112,6338174
112,4175633
112,1541933
112,2740043
112,2230493
112,8623323
112,3812613
112,3809392
112,4877831
112,2223891
112,4039330
114,9183719
114,2746459
114,2749996
114,3974444
114,2745784
114,6475442
114,2273591
118,3946139
118,1820569
118,0994591
118,2863178
118,3499507
118,7778407
118,8677277
118,2875937
118,7158397
118,1820607
118,4196786
118,5688846
118,8165576
118,3789225
118,4060895
118,3432735
118,1322885
118,1773704
118,1323744
118,2872403
118,4643023
118,6126173
118,3499652
118,0644027
118,2872622
118,1456642
118,7551862
118,3348420
118,4722530
118,4105030
119,3687659
119,2827630
120,3075599
120,5073909
120,6023899
120,9053048
120,4188687
120,6628757
120,8399066
120,3079535
120,7806235
120,2791574
120,7806173
120,1593352
120,2920802
120,1717782
120,8264731
120,6959420
120,9539190
120,5226800
120,8117970
121,4306197
121,7552566
121,3572295
121,2961805
121,6451665
121,1823945
121,4207335
121,1477584
121,3571162
121,3063990
122,3084909
122,4442808
122,3131388
122,4219828
122,4442347
122,1096386
122,1839505
122,7137825
122,8965744
122,5068563
122,3130503
122,3131072
122,7750261
122,8311231
122,0053104
122,3069510
122,4741390
122,3130790
123,6674399
123,2840379
123,2840299
123,4192728
123,4191868
123,1575098
123,1165988
123,1752118
123,5876107
123,7217807
123,5998526
123,1166406
123,4720205
123,3106445
112,4175489
112,9704839
112,4384448
112,1543728
112,4923128
112,5306958
112,3291717
112,2741427
112,4173366
112,3809456
112,4173604
112,0383639
112,0553636
112,1355613
112,5227813
112,0447102
114,1611808
114,5397477
114,2751277
114,2770586
114,0599555
114,2757655
114,7299714
114,1527054
114,0470136
114,3722463
114,2291492
114,0741027
114,7372861
114,3678730
118,4197839
118,3086479
118,5183779
118,3788418
118,4036918
118,3001128
118,1820557
118,2860406
118,1820466
118,0185259
118,4463735
118,2861754
118,6822423
118,6415613
118,8766322
118,4723902
119,1791129
119,3548986
119,5861635
119,5308515
119,2816794
119,7590212
119,5186671
120,3442399
120,2791948
120,3020978
120,1593646
120,2789666
120,9172995
120,3892974
